os,cpu,gpu,ram,kernel,driver,cpuscheduler
Omarchy,AMD Ryzen 9 5900X 12-Core Processor,NVIDIA GeForce RTX 3070,40963824,7.2.5-3-omarchy,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
98.9038,10.1108,20.0477,0,98,68,62,1890,6801,4.80865,211,13.3703,0,0,4599,250737504493
109.509,9.13166,21.5311,0,98,68,62,1890,6801,4.80865,211,13.3648,0,0,4686,250837594257
107.596,9.29404,21.5311,0,98,68,62,1890,6801,4.80865,211,13.3648,0,0,4686,250937695122
106.398,9.39866,21.5311,0,98,68,62,1890,6801,4.80865,211,13.3648,0,0,4686,251037784576
101.733,9.8297,21.5311,0,98,68,62,1890,6801,4.80865,211,13.3648,0,0,4686,251137865111
104.079,9.60813,21.5311,0,98,68,62,1890,6801,4.80865,211,13.3648,0,0,4686,251237950185
101.283,9.87334,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251338038770
103.339,9.6769,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251438123484
115.412,8.66458,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251538171158
107.947,9.26383,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251638255683
108.886,9.18396,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251738354777
107.31,9.31884,18.9103,0,98,68,62,1890,6801,4.80865,211,13.3643,0,0,4710,251838466382
97.2343,10.2844,19.6217,0,98,68,62,1890,6801,4.80865,212,13.3685,0,0,4644,251938561396
102.879,9.7202,19.6217,0,98,68,62,1890,6801,4.80865,212,13.3685,0,0,4644,252038656461
95.1875,10.5056,19.6217,0,98,68,62,1890,6801,4.80865,212,13.3685,0,0,4644,252138750655
113.599,8.80286,19.6217,0,98,68,62,1890,6801,4.80865,212,13.3685,0,0,4644,252238835370
106.078,9.42699,19.6217,0,98,68,62,1890,6801,4.80865,212,13.3685,0,0,4644,252338955174
107.056,9.34089,19.0701,0,98,68,62,1890,6801,4.80865,213,13.3579,0,0,4653,252439038789
95.5624,10.4644,19.0701,0,98,68,62,1890,6801,4.80865,213,13.3579,0,0,4653,252539123703
101.948,9.80893,19.0701,0,98,68,62,1890,6801,4.80865,213,13.3579,0,0,4653,252639212098
96.4491,10.3682,19.0701,0,98,68,62,1890,6801,4.80865,213,13.3579,0,0,4653,252739298592
102.806,9.72707,19.0701,0,98,68,62,1890,6801,4.80865,213,13.3579,0,0,4653,252839380287
99.2803,10.0725,17.8457,0,99,68,62,1890,6801,4.80865,213,13.3592,0,0,4724,252939477471
104.123,9.60404,17.8457,0,99,68,62,1890,6801,4.80865,213,13.3592,0,0,4724,253039574886
101.025,9.89855,17.8457,0,99,68,62,1890,6801,4.80865,213,13.3592,0,0,4724,253139663480
106.235,9.4131,17.8457,0,99,68,62,1890,6801,4.80865,213,13.3592,0,0,4724,253239748765
78.3241,12.7675,17.8457,0,99,68,62,1890,6801,4.80865,213,13.3592,0,0,4724,253339836919
120.379,8.30713,18.4481,0,98,68,62,1890,6801,4.80865,213,13.3806,0,0,4625,253439945304
