timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,power.draw,fan.speed,utilization.gpu
2026/09/17 22:21:29.814, P2, 1875, 6801, 46, 104.04, 33, 99
2026/09/17 22:21:31.836, P2, 1875, 6801, 46, 103.20, 33, 99
2026/09/17 22:21:33.858, P2, 1875, 6801, 46, 101.38, 33, 99
2026/09/17 22:21:35.880, P2, 1875, 6801, 49, 118.62, 33, 100
2026/09/17 22:21:37.902, P2, 1905, 6801, 50, 140.28, 33, 100
2026/09/17 22:21:39.924, P2, 1905, 6801, 51, 140.41, 34, 100
2026/09/17 22:21:41.947, P2, 1905, 6801, 51, 140.93, 34, 100
2026/09/17 22:21:43.970, P2, 1905, 6801, 51, 140.35, 35, 100
2026/09/17 22:21:45.993, P2, 1905, 6801, 54, 164.99, 36, 100
2026/09/17 22:21:48.020, P2, 1905, 6801, 54, 166.32, 37, 100
2026/09/17 22:21:50.042, P2, 1905, 6801, 54, 167.56, 38, 100
2026/09/17 22:21:52.065, P2, 1905, 6801, 54, 166.47, 39, 100
2026/09/17 22:21:54.090, P2, 1905, 6801, 55, 167.78, 39, 100
2026/09/17 22:21:56.112, P2, 1905, 6801, 49, 96.38, 41, 99
2026/09/17 22:21:58.134, P2, 1905, 6801, 49, 111.44, 42, 99
2026/09/17 22:22:00.157, P2, 1905, 6801, 48, 100.45, 40, 99
2026/09/17 22:22:02.180, P2, 1905, 6801, 48, 94.13, 36, 99
2026/09/17 22:22:04.202, P2, 1905, 6801, 49, 114.46, 34, 100
2026/09/17 22:22:06.226, P2, 1905, 6801, 53, 150.06, 33, 100
2026/09/17 22:22:08.249, P2, 1905, 6801, 53, 154.31, 35, 100
2026/09/17 22:22:10.272, P2, 1905, 6801, 54, 155.15, 37, 100
2026/09/17 22:22:12.293, P2, 1905, 6801, 54, 154.22, 39, 100
2026/09/17 22:22:14.315, P2, 1905, 6801, 54, 154.68, 39, 100
2026/09/17 22:22:16.337, P2, 1905, 6801, 52, 135.65, 39, 100
2026/09/17 22:22:18.359, P2, 1905, 6801, 52, 134.79, 39, 100
2026/09/17 22:22:20.382, P2, 1905, 6801, 52, 135.04, 39, 100
2026/09/17 22:22:22.404, P2, 1905, 6801, 52, 135.44, 39, 100
2026/09/17 22:22:24.427, P2, 1905, 6801, 52, 135.01, 39, 100
2026/09/17 22:22:26.449, P2, 1905, 6801, 48, 94.01, 39, 99
2026/09/17 22:22:28.476, P2, 1905, 6801, 48, 89.81, 37, 99
2026/09/17 22:22:30.503, P2, 1905, 6801, 48, 89.82, 35, 99
2026/09/17 22:22:32.529, P2, 1905, 6801, 48, 89.92, 34, 99
2026/09/17 22:22:34.554, P2, 1905, 6801, 47, 89.79, 33, 99
2026/09/17 22:22:36.579, P2, 1905, 6801, 48, 99.73, 33, 100
2026/09/17 22:22:38.601, P2, 1905, 6801, 48, 99.72, 33, 100
2026/09/17 22:22:40.624, P2, 1905, 6801, 48, 99.78, 33, 100
2026/09/17 22:22:42.647, P2, 1905, 6801, 48, 99.81, 33, 100
2026/09/17 22:22:44.671, P2, 1905, 6801, 48, 99.62, 33, 100
2026/09/17 22:22:46.695, P2, 1905, 6801, 47, 90.08, 33, 99
2026/09/17 22:22:48.723, P2, 1905, 6801, 47, 89.18, 33, 99
2026/09/17 22:22:50.752, P2, 1905, 6801, 47, 85.73, 33, 99
2026/09/17 22:22:52.781, P2, 1905, 6801, 47, 85.71, 33, 99
2026/09/17 22:22:54.810, P2, 1905, 6801, 47, 85.47, 33, 99
2026/09/17 22:22:56.836, P2, 1905, 6801, 47, 90.75, 33, 99
2026/09/17 22:22:58.860, P2, 1905, 6801, 49, 106.97, 33, 100
2026/09/17 22:23:00.884, P2, 1905, 6801, 48, 99.25, 33, 100
2026/09/17 22:23:02.909, P2, 1905, 6801, 48, 97.17, 34, 100
2026/09/17 22:23:04.935, P2, 1905, 6801, 49, 115.12, 34, 100
2026/09/17 22:23:06.958, P2, 1905, 6801, 53, 157.68, 34, 100
2026/09/17 22:23:08.983, P2, 1905, 6801, 53, 161.96, 36, 100
2026/09/17 22:23:11.010, P2, 1905, 6801, 53, 156.45, 37, 100
2026/09/17 22:23:13.035, P2, 1905, 6801, 53, 152.39, 38, 100
2026/09/17 22:23:15.064, P2, 1905, 6801, 53, 158.06, 39, 100
2026/09/17 22:23:17.093, P2, 1890, 6801, 55, 176.39, 40, 100
2026/09/17 22:23:19.119, P2, 1890, 6801, 55, 175.10, 40, 100
2026/09/17 22:23:21.146, P2, 1890, 6801, 55, 175.33, 40, 100
2026/09/17 22:23:23.173, P2, 1890, 6801, 56, 183.32, 40, 100
2026/09/17 22:23:25.203, P2, 1890, 6801, 56, 175.36, 42, 100
2026/09/17 22:23:27.228, P2, 1890, 6801, 51, 108.64, 44, 100
2026/09/17 22:23:29.251, P2, 1905, 6801, 50, 106.96, 42, 100
2026/09/17 22:23:31.274, P2, 1905, 6801, 50, 106.63, 39, 100
2026/09/17 22:23:33.297, P2, 1905, 6801, 50, 105.38, 37, 100
2026/09/17 22:23:35.325, P2, 1905, 6801, 50, 107.11, 36, 100
